IDEMPIERE-3782,Bug,Closed,Won't Fix,03/09/18,03/09/18
IDEMPIERE-3762,Bug,Closed,Fixed,26/07/18,27/07/18
IDEMPIERE-3759,Bug,Closed,Fixed,24/07/18,24/07/18
IDEMPIERE-3757,Bug,Closed,Fixed,23/07/18,24/07/18
IDEMPIERE-3754,Bug,Closed,Cannot Reproduce,20/07/18,20/07/18
IDEMPIERE-3748,Bug,Closed,Fixed,16/07/18,16/07/18
IDEMPIERE-3744,Bug,Closed,Fixed,13/07/18,23/07/18
IDEMPIERE-3743,Bug,Closed,Fixed,11/07/18,11/07/18
IDEMPIERE-3739,Bug,Closed,Fixed,05/07/18,05/07/18
IDEMPIERE-3738,Bug,Closed,Fixed,04/07/18,04/07/18
IDEMPIERE-3737,Bug,Closed,Fixed,03/07/18,23/07/18
IDEMPIERE-3736,Bug,Closed,Fixed,30/06/18,09/07/18
IDEMPIERE-3735,Bug,Closed,Fixed,26/06/18,09/07/18
IDEMPIERE-3733,Bug,Closed,Fixed,22/06/18,09/07/18
IDEMPIERE-3728,Bug,Closed,Fixed,07/06/18,07/06/18
IDEMPIERE-3727,Bug,Closed,Fixed,06/06/18,07/06/18
IDEMPIERE-3725,Bug,Closed,Fixed,01/06/18,01/06/18
IDEMPIERE-3724,Bug,Closed,Fixed,29/05/18,29/05/18
IDEMPIERE-3722,Bug,Closed,Fixed,29/05/18,29/05/18
IDEMPIERE-3717,Bug,Closed,Fixed,22/05/18,22/05/18
IDEMPIERE-3713,Bug,Closed,Fixed,16/05/18,10/07/18
IDEMPIERE-3706,Bug,Closed,Fixed,03/05/18,04/05/18
IDEMPIERE-3704,Bug,Closed,Fixed,03/05/18,03/05/18
IDEMPIERE-3700,Bug,Closed,Fixed,27/04/18,28/04/18
IDEMPIERE-3699,Bug,Closed,Fixed,27/04/18,27/04/18
IDEMPIERE-3692,Bug,Closed,Fixed,20/04/18,28/04/18
IDEMPIERE-3690,Bug,Closed,Fixed,16/04/18,17/04/18
