OFBIZ-499,Improvement,Closed,Unresolved,27/11/06,08/09/18
OFBIZ-297,New Feature,Closed,Not A Problem,14/09/06,18/05/18
OFBIZ-194,New Feature,Closed,Fixed,03/09/06,16/07/14
OFBIZ-565,Improvement,Closed,Duplicate,27/12/06,31/01/09
OFBIZ-999,Improvement,Closed,Fixed,19/05/07,21/05/07
OFBIZ-845,Improvement,Closed,Fixed,26/03/07,27/03/07
OFBIZ-487,Improvement,Closed,Fixed,21/11/06,11/11/09
OFBIZ-483,Improvement,Closed,Fixed,20/11/06,21/11/06
OFBIZ-522,Improvement,Closed,Fixed,05/12/06,21/03/09
OFBIZ-716,New Feature,Closed,Fixed,12/02/07,15/03/10
OFBIZ-393,Improvement,Closed,Fixed,19/10/06,20/10/06
OFBIZ-388,Improvement,Closed,Fixed,19/10/06,19/10/06
OFBIZ-398,Improvement,Closed,Fixed,20/10/06,21/10/06
OFBIZ-286,New Feature,Closed,Fixed,14/09/06,17/11/06
OFBIZ-238,Improvement,Closed,Fixed,12/09/06,14/11/06
OFBIZ-236,Improvement,Closed,Cannot Reproduce,12/09/06,27/11/06
OFBIZ-77,Wish,Closed,Fixed,03/07/06,11/01/07
OFBIZ-125,Improvement,Closed,Fixed,31/07/06,01/08/06
OFBIZ-94,New Feature,Closed,Incomplete,18/07/06,23/09/16
OFBIZ-382,New Feature,Closed,Fixed,18/10/06,08/06/16
OFBIZ-207,Improvement,Closed,Duplicate,07/09/06,06/06/16
OFBIZ-760,Improvement,Closed,Fixed,24/02/07,26/02/07
OFBIZ-619,Improvement,Closed,Incomplete,12/01/07,23/10/15
OFBIZ-566,Improvement,Closed,Cannot Reproduce,27/12/06,21/10/15
OFBIZ-366,Improvement,Closed,Fixed,08/10/06,09/12/10
OFBIZ-706,Improvement,Closed,Not A Problem,09/02/07,17/04/15
OFBIZ-304,Improvement,Closed,Won't Fix,14/09/06,22/09/14
OFBIZ-897,New Feature,Closed,Later,16/04/07,16/07/14
OFBIZ-835,Improvement,Closed,Incomplete,21/03/07,16/07/14
OFBIZ-794,New Feature,Closed,Won't Fix,08/03/07,16/07/14
OFBIZ-641,New Feature,Closed,Won't Fix,22/01/07,16/07/14
OFBIZ-475,New Feature,Closed,Later,19/11/06,16/07/14
OFBIZ-272,New Feature,Closed,Incomplete,14/09/06,16/07/14
OFBIZ-239,Improvement,Closed,Later,12/09/06,16/07/14
OFBIZ-233,New Feature,Closed,Later,12/09/06,16/07/14
OFBIZ-227,Improvement,Closed,Incomplete,11/09/06,16/07/14
OFBIZ-197,New Feature,Closed,Later,03/09/06,16/07/14
OFBIZ-196,New Feature,Closed,Later,03/09/06,16/07/14
OFBIZ-195,New Feature,Closed,Later,03/09/06,16/07/14
OFBIZ-183,New Feature,Closed,Fixed,24/08/06,16/07/14
OFBIZ-173,New Feature,Closed,Fixed,22/08/06,16/07/14
OFBIZ-150,Improvement,Closed,Incomplete,11/08/06,16/07/14
OFBIZ-659,Improvement,Closed,Later,26/01/07,27/04/14
OFBIZ-635,Improvement,Closed,Later,18/01/07,27/04/14
OFBIZ-219,Wish,Closed,Later,11/09/06,21/04/14
OFBIZ-149,Improvement,Closed,Later,10/08/06,21/04/14
OFBIZ-228,Wish,Closed,Won't Fix,11/09/06,27/03/14
OFBIZ-589,Improvement,Closed,Fixed,03/01/07,26/03/14
OFBIZ-949,New Feature,Closed,Fixed,30/04/07,26/03/14
OFBIZ-732,Improvement,Closed,Incomplete,17/02/07,26/03/14
OFBIZ-793,Improvement,Closed,Fixed,08/03/07,26/03/14
OFBIZ-559,Improvement,Closed,Incomplete,22/12/06,26/03/14
OFBIZ-680,New Feature,Closed,Won't Fix,01/02/07,10/05/07
OFBIZ-883,Improvement,Closed,Fixed,12/04/07,16/11/13
OFBIZ-860,New Feature,Closed,Fixed,30/03/07,16/11/13
OFBIZ-826,Improvement,Closed,Fixed,19/03/07,16/11/13
OFBIZ-601,Improvement,Closed,Not A Problem,07/01/07,29/09/13
OFBIZ-995,New Feature,Closed,Fixed,18/05/07,05/02/08
OFBIZ-642,Improvement,Closed,Fixed,22/01/07,13/07/07
OFBIZ-893,Improvement,Closed,Fixed,16/04/07,09/11/08
OFBIZ-891,Improvement,Closed,Fixed,14/04/07,16/09/09
OFBIZ-754,Improvement,Closed,Fixed,23/02/07,03/03/07
OFBIZ-400,Improvement,Closed,Fixed,21/10/06,23/01/07
OFBIZ-364,Improvement,Closed,Fixed,06/10/06,31/10/06
OFBIZ-379,Improvement,Closed,Fixed,16/10/06,24/10/06
OFBIZ-334,Improvement,Closed,Won't Fix,27/09/06,17/11/06
OFBIZ-333,Improvement,Closed,Fixed,27/09/06,08/11/06
OFBIZ-509,Improvement,Closed,Won't Fix,30/11/06,08/07/12
OFBIZ-203,New Feature,Closed,Won't Fix,05/09/06,07/02/08
OFBIZ-100,New Feature,Closed,Incomplete,21/07/06,22/12/07
OFBIZ-528,Improvement,Closed,Fixed,06/12/06,29/04/07
OFBIZ-644,Improvement,Closed,Fixed,22/01/07,14/02/07
OFBIZ-864,New Feature,Closed,Won't Fix,02/04/07,12/01/12
OFBIZ-630,New Feature,Closed,Fixed,16/01/07,02/09/07
OFBIZ-411,New Feature,Closed,Fixed,29/10/06,30/05/11
OFBIZ-185,Improvement,Closed,Fixed,26/08/06,30/05/11
OFBIZ-847,Improvement,Closed,Fixed,26/03/07,20/01/11
OFBIZ-315,New Feature,Closed,Fixed,16/09/06,16/01/11
OFBIZ-736,Wish,Closed,Incomplete,17/02/07,15/01/11
OFBIZ-348,Improvement,Closed,Not A Problem,30/09/06,12/01/11
OFBIZ-269,Improvement,Closed,Duplicate,13/09/06,03/09/10
OFBIZ-65,Improvement,Closed,Won't Fix,29/06/06,12/01/08
OFBIZ-934,Improvement,Closed,Fixed,27/04/07,19/01/10
OFBIZ-552,New Feature,Closed,Fixed,18/12/06,26/11/09
OFBIZ-770,Improvement,Closed,Fixed,03/03/07,23/11/09
OFBIZ-416,Improvement,Closed,Won't Fix,31/10/06,14/09/09
OFBIZ-490,Improvement,Closed,Won't Fix,22/11/06,12/09/09
OFBIZ-113,Improvement,Closed,Fixed,26/07/06,09/09/09
OFBIZ-437,Improvement,Closed,Fixed,08/11/06,23/01/07
OFBIZ-769,Wish,Closed,Fixed,02/03/07,04/05/09
OFBIZ-609,Improvement,Closed,Won't Fix,10/01/07,29/04/09
OFBIZ-797,Improvement,Closed,Fixed,08/03/07,17/04/09
OFBIZ-777,New Feature,Closed,Fixed,05/03/07,09/04/09
OFBIZ-796,Improvement,Closed,Later,08/03/07,25/02/09
OFBIZ-193,New Feature,Closed,Incomplete,03/09/06,21/05/07
OFBIZ-729,Improvement,Closed,Won't Fix,16/02/07,16/01/09
OFBIZ-911,Improvement,Closed,Fixed,20/04/07,15/01/09
OFBIZ-300,Improvement,Closed,Later,14/09/06,17/12/08
OFBIZ-707,Improvement,Closed,Later,09/02/07,17/12/08
OFBIZ-756,New Feature,Closed,Won't Fix,23/02/07,12/12/08
